sample_index,title,line_index,char_index_in_line,char,context_line,context_around,pypinyin_default,all_candidates,selected_pinyin,selection_basis,notes
0,江南曲,0,1,得,嫁得瞿塘贾,嫁得瞿塘,de2,de2/de/dei3,,unverified,
0,江南曲,1,0,朝,朝朝误妾期,朝朝误,chao2,chao2/zhao1/zhu1,,unverified,
0,江南曲,1,1,朝,朝朝误妾期,朝朝误妾,chao2,chao2/zhao1/zhu1,,unverified,
1,宫词,0,0,长,长乐宫连上苑春,长乐宫,zhang3,zhang3/chang2,,unverified,
1,宫词,3,4,得,唯有宫莺得见人,宫莺得见人,de2,de2/de/dei3,,unverified,
1,宫词,3,5,见,唯有宫莺得见人,莺得见人,jian4,jian4/xian4,,unverified,
2,终南望余雪,3,1,中,城中增暮寒,城中增暮,zhong1,zhong1/zhong4,,unverified,
3,宫词·故国三千里,3,2,落,双泪落君前,双泪落君前,luo4,luo4/la4/lao4/luo1,,unverified,
4,无题·昨夜星辰昨夜风,5,0,分,分曹射覆蜡灯红,分曹射,fen1,fen1/fen4/fen2,,unverified,
5,杂诗三首·其三,3,0,长,长在汉家营,长在汉,zhang3,zhang3/chang2,,unverified,
5,杂诗三首·其三,4,0,少,少妇今春意,少妇今,shao3,shao3/shao4,,unverified,
5,杂诗三首·其三,6,2,将,谁能将旗鼓,谁能将旗鼓,jiang1,jiang1/jiang4/qiang1,,unverified,
5,杂诗三首·其三,7,1,为,一为取龙城,一为取龙,wei4,wei4/wei2,,unverified,
6,新年作,6,2,长,已似长沙傅,已似长沙傅,zhang3,zhang3/chang2,,unverified,
6,新年作,7,0,从,从今又几年,从今又,cong2,cong2/zong4,,unverified,
7,送梓州李使君,2,1,中,山中一夜雨,山中一夜,zhong1,zhong1/zhong4,,unverified,
7,送梓州李使君,3,3,重,树杪百重泉,杪百重泉,zhong4,zhong4/chong2/tong2,,unverified,
7,送梓州李使君,6,3,教,文翁翻教授,翁翻教授,jiao4,jiao4/jiao1,,unverified,
8,隋宫,7,2,重,岂宜重问后庭花,岂宜重问后,zhong4,zhong4/chong2/tong2,,unverified,
9,宿王昌龄隐居,1,1,处,隐处唯孤云,隐处唯孤,chu4,chu4/chu3,,unverified,
9,宿王昌龄隐居,3,3,为,清光犹为君,光犹为君,wei4,wei4/wei2,,unverified,
10,题金陵渡,1,2,行,一宿行人自可愁,一宿行人自,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
10,题金陵渡,2,1,落,潮落夜江斜月里,潮落夜江,luo4,luo4/la4/lao4/luo1,,unverified,
10,题金陵渡,2,4,斜,潮落夜江斜月里,夜江斜月里,xie2,xie2/xia2/cha2/ye2,,unverified,
11,行经华阴,7,3,处,何如此处学长生,如此处学长,chu4,chu4/chu3,,unverified,
11,行经华阴,7,5,长,何如此处学长生,处学长生,zhang3,zhang3/chang2,,unverified,
12,旅宿,2,2,思,寒灯思旧事,寒灯思旧事,si1,si1/sai1,,unverified,
12,旅宿,7,1,系,门系钓鱼船,门系钓鱼,xi4,xi4/ji4,,unverified,
13,秋夜寄邱员外 / 秋夜寄丘二十二员外,2,4,落,空山松子落,松子落,luo4,luo4/la4/lao4/luo1,,unverified,
14,早发白帝城 / 白帝下江陵,0,0,朝,朝辞白帝彩云间,朝辞白,chao2,chao2/zhao1/zhu1,,unverified,
14,早发白帝城 / 白帝下江陵,0,6,间,朝辞白帝彩云间,彩云间,jian1,jian1/jian4,,unverified,
14,早发白帝城 / 白帝下江陵,1,6,还,千里江陵一日还,一日还,hai2,hai2/huan2/fu2,,unverified,
14,早发白帝城 / 白帝下江陵,3,5,重,轻舟已过万重山,过万重山,zhong4,zhong4/chong2/tong2,,unverified,
15,落花,3,3,斜,迢递送斜晖,递送斜晖,xie2,xie2/xia2/cha2/ye2,,unverified,
15,落花,7,1,得,所得是沾衣,所得是沾,de2,de2/de/dei3,,unverified,
16,逢入京使,2,2,相,马上相逢无纸笔,马上相逢无,xiang1,xiang1/xiang4,,unverified,
17,送元二使安西 / 渭城曲,0,2,朝,渭城朝雨浥轻尘,渭城朝雨浥,chao2,chao2/zhao1/zhu1,,unverified,
17,送元二使安西 / 渭城曲,2,2,更,劝君更尽一杯酒,劝君更尽一,geng4,geng4/geng1,,unverified,
18,奉济驿重送严公四韵,0,2,从,远送从此别,远送从此别,cong2,cong2/zong4,,unverified,
18,奉济驿重送严公四韵,2,3,重,几时杯重把,时杯重把,zhong4,zhong4/chong2/tong2,,unverified,
18,奉济驿重送严公四韵,3,4,行,昨夜月同行,月同行,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
18,奉济驿重送严公四韵,5,1,朝,三朝出入荣,三朝出入,chao2,chao2/zhao1/zhu1,,unverified,
18,奉济驿重送严公四韵,6,4,处,江村独归处,独归处,chu4,chu4/chu3,,unverified,
19,金陵酒肆留别,2,5,相,金陵子弟来相送,弟来相送,xiang1,xiang1/xiang4,,unverified,
19,金陵酒肆留别,3,1,行,欲行不行各尽觞,欲行不行,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
19,金陵酒肆留别,3,3,行,欲行不行各尽觞,行不行各尽,xing2,xing2/hang2/heng2/xing4/hang4,,unverified,
19,金陵酒肆留别,5,6,长,别意与之谁短长,谁短长,zhang3,zhang3/chang2,,unverified,
20,游子吟,0,3,中,慈母手中线,母手中线,zhong1,zhong1/zhong4,,unverified,
