
======================================================================
Training started
======================================================================
  step     1/10000 | epoch 1 | loss=18.2051 mel=0.9412 dur=2.7313 pitch=0.6514 energy=1.1523 | lr=0.000002 | 0.7 step/s
  step   100/10000 | epoch 4 | loss=13.0510 mel=0.7961 dur=1.8308 pitch=0.6696 energy=0.8810 | lr=0.000101 | 0.9 step/s
  step   200/10000 | epoch 8 | loss=8.3293 mel=0.7805 dur=0.9528 pitch=0.5208 energy=0.8716 | lr=0.000201 | 0.8 step/s
  step   300/10000 | epoch 12 | loss=8.6886 mel=0.7776 dur=1.0784 pitch=0.4154 energy=0.8440 | lr=0.000301 | 0.8 step/s
  step   400/10000 | epoch 16 | loss=8.6766 mel=0.7745 dur=1.0308 pitch=0.4745 energy=0.8997 | lr=0.000401 | 0.8 step/s
  step   500/10000 | epoch 20 | loss=10.2738 mel=0.7776 dur=1.4065 pitch=0.3551 energy=0.8767 | lr=0.000500 | 0.7 step/s
  step   600/10000 | epoch 24 | loss=7.7246 mel=0.7702 dur=0.8370 pitch=0.5157 energy=0.8690 | lr=0.000495 | 0.7 step/s
  step   700/10000 | epoch 27 | loss=9.6980 mel=0.7782 dur=1.2250 pitch=0.5386 energy=0.8589 | lr=0.000489 | 0.7 step/s
  step   800/10000 | epoch 31 | loss=8.7279 mel=0.7491 dur=1.0770 pitch=0.4379 energy=0.8589 | lr=0.000484 | 0.7 step/s
  step   900/10000 | epoch 35 | loss=9.1637 mel=0.7624 dur=1.1400 pitch=0.4769 energy=0.8737 | lr=0.000479 | 0.7 step/s
  step  1000/10000 | epoch 39 | loss=9.0047 mel=0.7533 dur=1.1299 pitch=0.4528 energy=0.8480 | lr=0.000474 | 0.7 step/s
  step  1100/10000 | epoch 43 | loss=6.9048 mel=0.6876 dur=0.7053 pitch=0.5141 energy=0.8313 | lr=0.000468 | 0.6 step/s
  step  1200/10000 | epoch 47 | loss=8.1196 mel=0.7414 dur=0.9624 pitch=0.3854 energy=0.8978 | lr=0.000463 | 0.6 step/s
  step  1300/10000 | epoch 50 | loss=9.5976 mel=0.7583 dur=1.2412 pitch=0.4561 energy=0.8605 | lr=0.000458 | 0.6 step/s
  step  1400/10000 | epoch 54 | loss=7.6405 mel=0.6942 dur=0.8869 pitch=0.3952 energy=0.8606 | lr=0.000453 | 0.6 step/s
  step  1500/10000 | epoch 58 | loss=6.3858 mel=0.7604 dur=0.5855 pitch=0.4956 energy=0.8532 | lr=0.000447 | 0.6 step/s
  step  1600/10000 | epoch 62 | loss=7.4412 mel=0.6701 dur=0.8032 pitch=0.5185 energy=0.8589 | lr=0.000442 | 0.6 step/s
  step  1700/10000 | epoch 66 | loss=7.7433 mel=0.6407 dur=0.8434 pitch=0.5737 energy=0.8692 | lr=0.000437 | 0.6 step/s
  step  1800/10000 | epoch 70 | loss=8.2279 mel=0.6537 dur=0.9975 pitch=0.4447 energy=0.8487 | lr=0.000432 | 0.6 step/s
  step  1900/10000 | epoch 74 | loss=7.3568 mel=0.6591 dur=0.8024 pitch=0.4977 energy=0.8452 | lr=0.000426 | 0.6 step/s
  step  2000/10000 | epoch 77 | loss=7.9623 mel=0.6405 dur=0.9500 pitch=0.4622 energy=0.8238 | lr=0.000421 | 0.6 step/s
  >> Saved checkpoint: fs2_step2000.pt
  step  2100/10000 | epoch 81 | loss=7.1928 mel=0.6292 dur=0.8060 pitch=0.4312 energy=0.8357 | lr=0.000416 | 0.6 step/s
  step  2200/10000 | epoch 85 | loss=7.1372 mel=0.6085 dur=0.7258 pitch=0.6125 energy=0.8374 | lr=0.000411 | 0.6 step/s
  step  2300/10000 | epoch 89 | loss=8.4547 mel=0.5870 dur=1.0920 pitch=0.3888 energy=0.8151 | lr=0.000405 | 0.6 step/s
  step  2400/10000 | epoch 93 | loss=6.9449 mel=0.5654 dur=0.7359 pitch=0.4952 energy=0.8547 | lr=0.000400 | 0.6 step/s
  step  2500/10000 | epoch 97 | loss=6.3951 mel=0.6038 dur=0.6448 pitch=0.4507 energy=0.8328 | lr=0.000395 | 0.6 step/s
  step  2600/10000 | epoch 100 | loss=5.9794 mel=0.5579 dur=0.6105 pitch=0.3723 energy=0.8121 | lr=0.000389 | 0.6 step/s
  step  2700/10000 | epoch 104 | loss=6.9184 mel=0.5601 dur=0.7731 pitch=0.4418 energy=0.8046 | lr=0.000384 | 0.6 step/s
  step  2800/10000 | epoch 108 | loss=5.9371 mel=0.5375 dur=0.5779 pitch=0.4312 energy=0.8239 | lr=0.000379 | 0.6 step/s
  step  2900/10000 | epoch 112 | loss=6.8734 mel=0.5181 dur=0.7733 pitch=0.4001 energy=0.8442 | lr=0.000374 | 0.6 step/s
  step  3000/10000 | epoch 116 | loss=7.1186 mel=0.5272 dur=0.8360 pitch=0.3950 energy=0.8109 | lr=0.000368 | 0.6 step/s
  step  3100/10000 | epoch 120 | loss=6.0994 mel=0.5372 dur=0.5818 pitch=0.4835 energy=0.8432 | lr=0.000363 | 0.6 step/s
  step  3200/10000 | epoch 124 | loss=6.2049 mel=0.5181 dur=0.6414 pitch=0.4098 energy=0.8301 | lr=0.000358 | 0.6 step/s
  step  3300/10000 | epoch 127 | loss=7.2923 mel=0.5100 dur=0.8578 pitch=0.4201 energy=0.8266 | lr=0.000353 | 0.6 step/s
  step  3400/10000 | epoch 131 | loss=7.3299 mel=0.5007 dur=0.8315 pitch=0.4878 energy=0.8481 | lr=0.000347 | 0.6 step/s
